Restoran,Grad,Ocena,Recenzija
ROVI,London,4.3,I think the bar at ROVI provided a bit of privacy and acoustic kindness. I'd probably sit there again.
ROVI,London,4.3,"Staff were great. Helpful without being overbearing. Food was delicious and surprising, living up to expectations All four of us were delighted by the experience of eating here"
ROVI,London,4.3,"Ive always appreciated this restaurant for its warmth and knowledgeable staff. Lately, though, the experience has become more transactionalfocusing on upselling rather than guiding with care. The wine pairings feel less thoughtful, and the ambiance has grown robotic rather than inviting. Its disappointing to see what it has become, and we wont be back. I hope they rediscover the hospitality that once made it special."
ROVI,London,4.3,"Fabulous tasty and different food. The service is fantastic, you can try a sample of wines before buying a bottle and the team were very patient with us when we stayed much longer at our table than most. Highly recommended."
ROVI,London,4.3,"I really wanted to love Rovi and went on our anniversary! Im a fan of Ottos recipes and chose the restaurant myself as I love vegetarian food. BUTas one who has a coriander allergy it was impossible to eat at the restaurant. The waitress took the menu from me, and after speaking with the chef, she came back with the menu with everything crossed out except one meat dish (I dont eat meat!) , burrata and hummus with pita. Rather than leaving as it was a weekend (and our anniversary), we stayed. I was disheartened and surprised that the chef couldnt prepare one fish or chicken dish without a sauce/marinade as a solution. Seems to me at such a high end restaurant a chef should be able to accommodate allergies with some sort of creative solution. After looking so forward to this meal, I was beyond disappointed."
ROVI,London,4.3,Fabulous food and so very creative. A bit on the high side in terms of price. Drinks were delicious and service was good..
ROVI,London,4.3,"Great experience! Discovering Ottolenghis cuisine was a revelation, an extraordinary and natural taste, a meticulous attention and respectful of flavors and textures, this is how dishes are born composed of simple ingredients but treated with extreme care and with great intelligence. Absolutely worth trying!"
ROVI,London,4.3,As always the food was different and absolutely delicious. Excellent service too. It is a real pleasure to have a meal at Rovi. Thank you very much.
ROVI,London,4.3,The food is overpriced. The service changed several times during the evening. Waiters were overwhelmed. We waited over an hour for dinner. Just a little apology after we made the complaint. We expected more from one of Yotam Ottolenghi. Quality has declined since the last visit in winter 2024. Too bad
ROVI,London,4.3,"Everything is right, interior, staff, food provided a lunch to rememberb Atmospheric, friendly and great tastes.   Ottolenghi et al.'s cuisine is the best!"
ROVI,London,4.3,"We had a lovely evening at Rovi. The wait staff, the food and ambience was fantastic. We enjoyed sitting at the bar and saw the action and engaged with the staff. We selected the Chefs menu which gave us an array of amazing dishes. The crispy aubergine tops, pesto pasta was flavorful, grilled shrimp and their signature dish, celeriac shawarma were delicious. Every dish came with a unique and flavorful taste."
ROVI,London,4.3,"We were invited by friends to lunch to celebrate my husbands birthday. What great friends we have! delicious food, excellent service by exceptional people and lovely ambiance. Ive always been a huge fan of Ottolenghi, the restaurants and cafes never disappoint."
ROVI,London,4.3,Wow wow wow!!!! An unbelievable experience! If you visit London this is a must!!! Yotam Ottolenghi has left Rovi in the more than capable hands of head chef Andy Frantzeskos and boy what a food journey this was!! Andy is sooooo passionate about the food he is serving ! My taste buds were pinging all over the place! Normally meat is top of my list but Andys vegetarian and fish dishes were exquisite! I can hand on heart say this was my favourite lunch ever!!!!! it did help that I had my best friend with me my son Joe! hats off to you Andy! What a chef what a host. We will be back!!!!
ROVI,London,4.3,"We dined as a couple in what we understand to be not long reopened Rovi further to a refurb & were very impressed with the atmosphere, decor, the very tasty dishes we chose and all the staff, who couldn't have been more welcoming and helpful - nothing was too much trouble, even accommodating us when we turned up earlier than planned. Alex & Jacob, in particular, were great from start to finish, with Alex guiding us through the menu and sharing his recommendations & helping us pick the right number of dishes, as we wanted to try them all! The dishes were a taste sensation and definitely celebrate vegetables from root to tip. If all vegetables tasted like this, I don't think I would miss eating meat. Particular favourites were the crispy aubergine tops, celeriac shawarma & the burrata."
ROVI,London,4.3,Loved the vibe of this restaurant. We booked it as we were looking for an exclusively gluten-free meal and they were very accomodating. Everything we had was absolutely delicious. Would definitely recommend.
ROVI,London,4.3,"This sophisticated and sociable slice of Central London is a shoppers paradise, offering the latest fashions, gadgets, and souvenirs. Fitzrovia is conveniently located between the major retail thoroughfares of Regent Street to the west and Tottenham Court Road to the east, with a handful of well connected Tube stations dotted around the area for easy transport. This neighborhood is a favorite among foodies as well, with an impressive number of quality restaurants, pubs, cafes and food shops vying for your patronage  especially along Charlotte Street and near Goodge Street Station."
ROVI,London,4.3,"This is the version of our website addressed to speakers of English in the United States. If you are a resident of another country or region, please select the appropriate version of Tripadvisor for your country or region in the drop-down menu."
Hard Rock Cafe London Piccadilly Circus,London,4.8,"Fantastic place. We went there for a beer so we didn't eat anything. The bartender, Anselmo, stra helpful: he made us try the different beers of the house before making us order then recommended places not to be missed in the city. What about: the right man at the right time!   If you have just arrived in London, want a beer and need to settle in a little, this is the place for you!"
Hard Rock Cafe London Piccadilly Circus,London,4.8,"Hi there,  Thank you for the fantastic review and feedback. Our bartender Anselmo will be pleased to hear of such complements.  We hope to welcome you when back in the city. Ciao"
Hard Rock Cafe London Piccadilly Circus,London,4.8,"Superb, we were served by Anselmo, at the top. The bar is superb good atmosphere, very friendly and lively"
Hard Rock Cafe London Piccadilly Circus,London,4.8,"Hi there,  Thank you for the review and feedback. We hope to welcome you back soon in the future. Merci!"
Hard Rock Cafe London Piccadilly Circus,London,4.8,"Eaten two salads and a simple burger, exaggerated cost even if you are in London.....89 pounds a steal. Good food but overpriced and location in the basement."
