Restoran,Grad,Ocena,Recenzija
ROVI,London,4.3,"Rewards
Discover
Review
USD
Sign in
London
Hotels
Things to Do
Restaurants
Cruises
Forums"
ROVI,London,4.3,I think the bar at ROVI provided a bit of privacy and acoustic kindness. I'd probably sit there again.
ROVI,London,4.3,"Staff were great. Helpful without being overbearing. Food was delicious and surprising, living up to expectations All four of us were delighted by the experience of eating here"
ROVI,London,4.3,"I’ve always appreciated this restaurant for its warmth and knowledgeable staff. Lately, though, the experience has become more transactional—focusing on upselling rather than guiding with care. The wine pairings feel less thoughtful, and the ambiance has grown robotic rather than inviting. It’s disappointing to see what it has become, and we won’t be back. I hope they rediscover the hospitality that once made it special."
ROVI,London,4.3,"Fabulous tasty and different food. The service is fantastic, you can try a sample of wines before buying a bottle and the team were very patient with us when we stayed much longer at our table than most. Highly recommended."
ROVI,London,4.3,"I really wanted to love Rovi and went on our anniversary! I’m a fan of Otto’s recipes and chose the restaurant myself as I love vegetarian food. BUT…as one who has a coriander allergy it was impossible to eat at the restaurant. The waitress took the menu from me, and after speaking with the chef, she came back with the menu with everything crossed out except one meat dish (I don’t eat meat!) , burrata and hummus with pita. Rather than leaving as it was a weekend (and our anniversary), we stayed. I was disheartened and surprised that the chef couldn’t prepare one fish or chicken dish without a sauce/marinade as a solution. Seems to me at such a high end restaurant a chef should be able to accommodate allergies with some sort of creative solution. After looking so forward to this meal, I was beyond disappointed."
ROVI,London,4.3,Fabulous food and so very creative. A bit on the high side in terms of price. Drinks were delicious and service was good..
ROVI,London,4.3,"Great experience! Discovering Ottolenghi’s cuisine was a revelation, an extraordinary and natural taste, a meticulous attention and respectful of flavors and textures, this is how dishes are born composed of simple ingredients but treated with extreme care and with great intelligence. Absolutely worth trying!"
ROVI,London,4.3,"As always the food was different and absolutely delicious. Excellent service too.
It is a real pleasure to have a meal at Rovi. Thank you very much."
ROVI,London,4.3,"We went to Yotam Ottolenghi's restaurant NOPI and loved it. We promptly asked them to make a reservation for us at one of the others nearby, ROVI. Ottolenghi is known in the USA through his cookbooks. Although we aren't vegetarians, we wanted to try his vegetable dishes, which have lots of texture and flavor. It didn't disappoint... there was a roasted celeriac root dish that was magnificent--we will be roasting celeraic for the rest of our lives! The staff was very attentive and friendly at both restaurants. The cocktails at ROVI and NOPI were imaginative and fun. The vibe at both restaurants was hip and lively, not stodgy."
ROVI,London,4.3,The food is overpriced. The service changed several times during the evening. Waiters were overwhelmed. We waited over an hour for dinner. Just a little apology after we made the complaint. We expected more from one of Yotam Ottolenghi. Quality has declined since the last visit in winter 2024. Too bad
ROVI,London,4.3,"Everything is right, interior, staff, food provided a lunch ‘to remember’b Atmospheric, friendly and great tastes. 

Ottolenghi et al.'s cuisine is the best!"
ROVI,London,4.3,"We had a lovely evening at Rovi. The wait staff, the food and ambience was fantastic. We enjoyed sitting at the bar and saw the action and engaged with the staff. We selected the Chef’s menu which gave us an array of amazing dishes. The crispy aubergine tops, pesto pasta was flavorful, grilled shrimp and their signature dish, celeriac shawarma were delicious. Every dish came with a unique and flavorful taste."
ROVI,London,4.3,"We were invited by friends to lunch to celebrate my husbands birthday. What great friends we have! delicious food, excellent service by exceptional people and lovely ambiance. I’ve always been a huge fan of Ottolenghi, the restaurants and cafes never disappoint."
ROVI,London,4.3,Wow wow wow!!!! An unbelievable experience! If you visit London this is a must!!! Yotam Ottolenghi has left Rovi in the more than capable hands of head chef Andy Frantzeskos and boy what a food journey this was!! Andy is sooooo passionate about the food he is serving ! My taste buds were pinging all over the place! Normally meat is top of my list but Andy’s vegetarian and fish dishes were exquisite! I can hand on heart say this was my favourite lunch ever!!!!!😋😋😋😋 it did help that I had my best friend with me my son Joe!❤️❤️ hats off to you Andy! What a chef what a host. We will be back!!!!
